word,count
https,389
圖片,375
eric231,364
blog,364
uploads,361
wp,360
content,360
2020,266
03,216
可以,208
2022,183
img,134
png,133
使用,133
07,125
jpeg,124
jpg,120
105,114
1024,113
e688aae59c96,94
所以,83
安裝,73
因為,72
這個,71
769,70
750,67
768,66
redis,61
還是,57
一個,56
install,48
--,45
模式,44
Arduino,42
name,42
沒有,41
cluster,41
06,39
設定,38
開始,37
執行,37
提供,36
com,36
如果,36
時間,36
指令,35
很多,34
說明,34
05,34
04,34
不是,33
選擇,33
自己,32
就是,31
10,31
部分,30
一直,30
感覺,30
需要,30
大概,29
看到,29
方式,29
版本,29
透過,29
Serial,29
一下,28
是否,28
目前,28
功能,27
測試,27
ROS,27
起來,26
真的,26
已經,26
mosquitto,26
這邊,25
可能,25
完成,25
啟動,25
建立,25
腳位,25
另外,24
路上,23
重點,23
port,23
開發,23
sudo,23
怎麼,22
Docker,22
kubectl,22
ibmmq,22
這次,21
價格,21
22,21
不過,21
其實,21
輸出,21
依照,21
正常,21
file,21
應該,20
準備,20
調整,20
溫度,20
控制,20
brew,20
ap,20
我們,19
不會,19
方便,19
只能,19
進入,19
環境,19
Slave,19
spec,19
租車,18
一些,18
而且,18
進行,18
只有,18
有點,18
資料,18
12,18
APP,18
IDE,18
Client,18
to,18
cask,18
ESP,18
metadata,18
storage,18
一點,17
實際,17
以下,17
結果,17
簡單,17
決定,17
連接,17
文件,17
key,17
找到,16
比較,16
之前,16
問題,16
軟體,16
輸入,16
發現,16
資訊,16
AT,16
重新,16
板子,16
運作,16
etc,16
WIFI,16
Zulu,16
Coulee,16
相同,15
美金,15
再來,15
時候,15
be,15
直接,15
30,15
打開,15
20,15
工具,15
apt,15
ca,15
yaml,15
公司,14
官網,14
增加,14
必須,14
有些,14
原來,14
官方,14
指定,14
檔案,14
預設,14
server,14
背帶,14
11,14
參考,14
地方,14
25,14
println,14
the,14
01S,14
SPIFFS,14
config,14
Name,14
type,14
instance,14
除了,13
保險,13
這裡,13
移動,13
一定,13
注意,13
美國,13
車子,13
一樣,13
情形,13
不到,13
聲音,13
一次,13
19,13
首先,13
範例,13
spring,13
成功,13
app,13
腳架,13
下載,13
打算,13
無法,13
支援,13
MQTT,13
兩個,13
int,13
and,13
data,13
mosqsub,13
Master,13
apiVersion,13
v1,13
kind,13
labels,13
規劃,12
我個,12
這些,12
左右,12
USB,12
經過,12
機器,12
打包,12
boot,12
value,12
如下,12
接著,12
大多,12
原廠,12
程式,12
01,12
編譯,12
log,12
ros,12
node,12
bin,12
python,12
psk,12
info,12
password,12
conf,12
username,12
MQ,12
不能,11
還有,11
設備,11
台灣,11
覺得,11
上面,11
偵測,11
裡面,11
16,11
hello,11
內容,11
出現,11
本來,11
讀取,11
文章,11
整合,11
連線,11
GPIO,11
io,11
此時,11
景點,11
service,11
minikube,11
ESP8266,11
TWD,11
namespace,11
N5005,11
llama,11
當時,10
其他,10
變化,10
空間,10
GoPro,10
操作,10
閃爍,10
看來,10
version,10
package,10
17,10
GitHub,10
動作,10
服務,10
購買,10
訊息,10
速度,10
P24,10
烘豆,10
變成,10
Web,10
ESP32,10
主要,10
29,10
you,10
有個,10
Python,10
in,10
local,10
ssid,10
true,10
K8S,10
Cluster,10
叢集,10
哨兵,10
ReadWriteOnce,10
6379,10
費用,9
14,9
加上,9
前面,9
發生,9
考慮,9
明顯,9
這種,9
東西,9
下來,9
接上,9
通訊,9
wordpress,9
java,9
原始,9
build,9
Google,9
免費,9
25e6258825aa25e5259c25962b2019,9
駕照,9
40,9
才能,9
08,9
一段,9
現在,9
如何,9
知道,9
小車,9
ionic,9
什麼,9
應用,9
差異,9
所有,9
內建,9
Queue,9
作業,9
配置,9
topic,9
init,9
cv,9
size,9
doc,9
path,9
apply,9
Desktop,9
hostPath,9
storageClassName,9
class,9
accessModes,9
mnt,9
RabbitMQ,9
world,9
包含,8
道路,8
每個,8
算是,8
不同,8
例如,8
但是,8
建議,8
車道,8
自動,8
方向,8
需求,8
看看,8
第一,8
消息,8
似乎,8
訂閱,8
限制,8
確認,8
網頁,8
MU,8
路線,8
事情,8
供電,8
18,8
照著,8
相關,8
端的,8
網路,8
github,8
攝氏,8
const,8
mVoltage,8
if,8
還要,8
workspace,8
Service,8
sh,8
卡片,8
燒錄,8
default,8
configFile,8
fs,8
..,8
will,8
密碼,8
bridge,8
RMB,8
Node,8
坑道,8
感受,8
KA17,8
13,7
機場,7
項目,7
每次,7
否則,7
還挺,7
避免,7
雖然,7
當然,7
晚上,7
小時,7
很大,7
最近,7
能力,7
突然,7
回到,7
15,7
ericchen231,7
http,7
錯誤,7
檢視,7
文字,7
這麼,7
Pro,7
換成,7
整個,7
便宜,7
播放,7
這樣,7
套件,7
規則,7
介面,7
這是,7
表示,7
LED,7
Uno,7
json,7
Mac,7
紅燈,7
23,7
setup,7
事件,7
安排,7
住宿,7
or,7
PWM,7
度時,7
數值,7
void,7
print,7
系統,7
curl,7
console,7
get,7
pyenv,7
3.8,7
JSON,7
general,7
user,7
CA,7
enter,7
certs,7
客戶,7
var,7
橋接,7
received,7
15571,7
Redis,7
POD,7
PersistentVolume,7
capacity,7
10Gi,7
StatefulSet,7
headless,7
selector,7
